tourn_id,tourn_order,tourn_place,tourn_name,tourn_link,tourn_start_date,tourn_start_year,tourn_start_day,tourn_start_month,tourn_end_date,tourn_end_year,tourn_end_ay,tourn_end_month,tourn_currency,tourn_value,tourn_value_Date,tourn_round,tourn_round_order,match_order,winner_id,loser_id,winner_seed,loser_seed,match_score,winner_sets,loser_sets,winner_games,loser_games,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_url
451,2,Doha,doha,/en/scores/archive/doha/451/2020/results,2020.01.06,2020,1,6,2020.01.11,2020,1,11,USD,1359180.0,2020-01-01,Finals,1,1,re44,mw02,2,,62 76(3),2,0,13,8,1,0,2020-451-2020-7-1-re44-mw02,/en/scores/match-stats/archive/2020/451/ms001
451,2,Doha,doha,/en/scores/archive/doha/451/2020/results,2020.01.06,2020,1,6,2020.01.11,2020,1,11,USD,1359180.0,2020-01-01,Semi-Finals,2,1,mw02,w367,,1,36 75 63,2,1,16,14,0,0,2020-451-2020-6-2-mw02-w367,/en/scores/match-stats/archive/2020/451/ms002
451,2,Doha,doha,/en/scores/archive/doha/451/2020/results,2020.01.06,2020,1,6,2020.01.11,2020,1,11,USD,1359180.0,2020-01-01,Semi-Finals,2,2,re44,ki95,2,,63 61,2,0,12,4,0,0,2020-451-2020-6-1-re44-ki95,/en/scores/match-stats/archive/2020/451/ms003
451,2,Doha,doha,/en/scores/archive/doha/451/2020/results,2020.01.06,2020,1,6,2020.01.11,2020,1,11,USD,1359180.0,2020-01-01,Quarter-Finals,3,1,w367,bh09,1,,63 64,2,0,12,7,0,0,2020-451-2020-5-4-w367-bh09,/en/scores/match-stats/archive/2020/451/ms004
451,2,Doha,doha,/en/scores/archive/doha/451/2020/results,2020.01.06,2020,1,6,2020.01.11,2020,1,11,USD,1359180.0,2020-01-01,Quarter-Finals,3,2,re44,h996,2,,64 63,2,0,12,7,0,0,2020-451-2020-5-3-re44-h996,/en/scores/match-stats/archive/2020/451/ms007
451,2,Doha,doha,/en/scores/archive/doha/451/2020/results,2020.01.06,2020,1,6,2020.01.11,2020,1,11,USD,1359180.0,2020-01-01,Quarter-Finals,3,3,ki95,f724,,,62 60,2,0,12,2,0,0,2020-451-2020-5-2-ki95-f724,/en/scores/match-stats/archive/2020/451/ms006
451,2,Doha,doha,/en/scores/archive/doha/451/2020/results,2020.01.06,2020,1,6,2020.01.11,2020,1,11,USD,1359180.0,2020-01-01,Quarter-Finals,3,4,mw02,v306,,,64 46 64,2,1,16,14,0,0,2020-451-2020-5-1-mw02-v306,/en/scores/match-stats/archive/2020/451/ms005
451,2,Doha,doha,/en/scores/archive/doha/451/2020/results,2020.01.06,2020,1,6,2020.01.11,2020,1,11,USD,1359180.0,2020-01-01,Round of 16,4,1,w367,ca12,1,,63 64,2,0,12,7,0,0,2020-451-2020-4-8-w367-ca12,/en/scores/match-stats/archive/2020/451/ms008
451,2,Doha,doha,/en/scores/archive/doha/451/2020/results,2020.01.06,2020,1,6,2020.01.11,2020,1,11,USD,1359180.0,2020-01-01,Round of 16,4,2,re44,k926,2,,64 62,2,0,12,6,0,0,2020-451-2020-4-7-re44-k926,/en/scores/match-stats/archive/2020/451/ms015
451,2,Doha,doha,/en/scores/archive/doha/451/2020/results,2020.01.06,2020,1,6,2020.01.11,2020,1,11,USD,1359180.0,2020-01-01,Round of 16,4,3,ki95,t786,,3,76(9) 61,2,0,13,7,1,0,2020-451-2020-4-6-ki95-t786,/en/scores/match-stats/archive/2020/451/ms013
