tourn_type,tourn_name,tourn_id,tourn_location,tourn_start_year,tourn_ground,tourn_value,tourn_winner,winner_id
ATP Cup,ATP Cup,8888,atp-cup,2020,Hard,"$15,000,000",Novak Djokovic,d643
ATP 250,Doha,451,doha,2020,Hard,"$1,465,260",Andrey Rublev,re44
ATP 250,Adelaide,8998,adelaide,2020,Hard,"$610,010",Andrey Rublev,re44
ATP 250,Auckland,301,auckland,2020,Hard,"$610,010",Ugo Humbert,hh26
Grand Slam,Australian Open,580,australian-open,2020,Hard,"A$32,505,000",Novak Djokovic,d643
ATP 250,Cordoba,9158,cordoba,2020,Clay,"$610,010",Cristian Garin,gd64
ATP 250,Pune,891,pune,2020,Hard,"$610,010",Jiri Vesely,v708
ATP 250,Montpellier,375,montpellier,2020,Hard,"€606,350",Gael Monfils,mc65
ATP 500,Rotterdam,407,rotterdam,2020,Hard,"€2,155,295",Gael Monfils,mc65
ATP 250,New York,424,new-york,2020,Hard,"$804,180",Kyle Edmund,e831
ATP 250,Buenos Aires,506,buenos-aires,2020,Clay,"$696,280",Casper Ruud,rh16
ATP 500,Rio de Janeiro,6932,rio-de-janeiro,2020,Clay,"$1,915,485",Cristian Garin,gd64
ATP 250,Marseille,496,marseille,2020,Hard,"€769,670",Stefanos Tsitsipas,te51
ATP 250,Delray Beach,499,delray-beach,2020,Hard,"$673,655",Reilly Opelka,o522
ATP 500,Dubai,495,dubai,2020,Hard,"$2,950,420",Novak Djokovic,d643
ATP 500,Acapulco,807,acapulco,2020,Hard,"$2,000,845",Rafael Nadal,n409
ATP 250,Santiago,8996,santiago,2020,Clay,"$674,730",Thiago Seyboth Wild,sx91
Masters 1000,ATP Masters 1000 Indian Wells (Suspended),404,indian-wells,2020,Hard,"$9,735,685",,
Masters 1000,ATP Masters 1000 Miami (Suspended),403,miami,2020,Hard,"$9,735,685",,
ATP 250,Houston (Suspended),717,houston,2020,Clay,"$674,730",,
ATP 250,Marrakech (Suspended),360,marrakech,2020,Clay,"€606,350",,
Masters 1000,ATP Masters 1000 Monte Carlo (Suspended),410,monte-carlo,2020,Clay,"€5,961,830",,
ATP 500,Barcelona (Suspended),425,barcelona,2020,Clay,"€2,803,265",,
ATP 250,Budapest (Suspended),7648,budapest,2020,Clay,"€606,350",,
ATP 250,Estoril (Suspended),7290,estoril,2020,Clay,"€606,350",,
ATP 250,Munich (Suspended),308,munich,2020,Clay,"€606,350",,
ATP 250,Geneva (Suspended),322,geneva,2020,Clay,"€606,350",,
ATP 250,Lyon (Suspended),7694,lyon,2020,Clay,"€606,350",,
ATP 250,Stuttgart (Suspended),321,stuttgart,2020,Grass,"€780,570",,
ATP 250,'s-Hertogenbosch (Suspended),440,s-hertogenbosch,2020,Grass,"€735,790",,
ATP 500,Halle (Suspended),500,halle,2020,Grass,"€2,275,960",,
ATP 500,London / Queen's Club (Suspended),311,london,2020,Grass,"€2,275,960",,
ATP 250,Mallorca (Suspended),8994,mallorca,2020,Grass,"$963,655",,
ATP 250,Eastbourne (Suspended),741,eastbourne,2020,Grass,"€771,680",,
Grand Slam,Wimbledon (Suspended),540,wimbledon,2020,Grass,,,
ATP 250,Newport (Suspended),315,newport,2020,Grass,"$674,730",,
ATP 250,Bastad (Suspended),316,bastad,2020,Clay,"€606,350",,
ATP 250,Los Cabos (Suspended),7480,los-cabos,2020,Hard,"$933,625",,
ATP 250,Gstaad (Suspended),314,gstaad,2020,Clay,"€606,350",,
ATP 250,Umag (Suspended),439,umag,2020,Clay,"€606,350",,
,Tokyo Olympics (Suspended),96,tokyo,2020,Hard,,,
ATP 250,Atlanta (Suspended),6116,atlanta,2020,Hard,"$804,180",,
Masters 1000,ATP Masters 1000 Canada (Suspended),421,toronto,2020,Hard,"$6,753,510",,
ATP 500,Washington (Suspended),418,washington,2020,Hard,"$2,108,865",,
Masters 1000,ATP Masters 1000 Cincinnati,422,new-york,2020,Hard,"$4,674,780",Novak Djokovic,d643
ATP 250,Winston-Salem (Suspended),6242,winston-salem,2020,Hard,"$835,020",,
Grand Slam,US Open,560,us-open,2020,Hard,"$21,656,000",Dominic Thiem,tb69
ATP 250,Kitzbuhel,319,kitzbuhel,2020,Clay,"€400,335",Miomir Kecmanovic,ki95
Masters 1000,ATP Masters 1000 Madrid (Suspended),1536,madrid,2020,Clay,"€7,659,165",,
Masters 1000,ATP Masters 1000 Rome,416,rome,2020,Clay,"€3,854,000",Novak Djokovic,d643
ATP 500,Hamburg,414,hamburg,2020,Clay,"€1,203,960",Andrey Rublev,re44
ATP 250,Metz (Suspended),341,metz,2020,Hard,"€606,350",,
Laver Cup,Laver Cup (Suspended),9210,laver-cup,2020,Hard,,,
Grand Slam,Roland Garros,520,roland-garros,2020,Clay,"€18,209,040",Rafael Nadal,n409
ATP 250,Chengdu (Suspended),7581,chengdu,2020,Hard,"$1,255,180",,
ATP 250,Zhuhai (Suspended),9164,zhuhai,2020,Hard,"$1,034,655",,
ATP 500,Beijing (Suspended),747,beijing,2020,Hard,"$3,728,800",,
ATP 500,Tokyo (Suspended),329,tokyo,2020,Hard,"$2,108,865",,
Masters 1000,ATP Masters 1000 Shanghai (Suspended),5014,shanghai,2020,Hard,"$8,741,630",,
ATP 500,St. Petersburg,568,st-petersburg,2020,Hard,"$1,399,370",Andrey Rublev,re44
ATP 250,Cologne 1,9404,cologne,2020,Hard,"€271,345",Alexander Zverev,z355
ATP 250,Sardinia,9408,sardinia,2020,Clay,"€271,345",Laslo Djere,db63
ATP 250,Stockholm (Suspended),429,stockholm,2020,Hard,"€735,790",,
ATP 250,Moscow (Suspended),438,moscow,2020,Hard,"$668,120",,
ATP 250,Antwerp,7485,antwerp,2020,Hard,"€472,590",Ugo Humbert,hh26
ATP 250,Cologne 2,9406,cologne-2,2020,Hard,"€271,345",Alexander Zverev,z355
ATP 500,Basel (Suspended),328,basel,2020,Hard,"€2,276,790",,
ATP 500,Vienna,337,vienna,2020,Hard,"€1,550,950",Andrey Rublev,re44
ATP 250,Nur-Sultan,9410,nur-sultan,2020,Hard,"$337,000",John Millman,mh30
Masters 1000,ATP Masters 1000 Paris,352,paris,2020,Hard,"€3,732,680",Daniil Medvedev,mm58
ATP 250,Sofia,7434,sofia,2020,Hard,"€389,270",Jannik Sinner,s0ag
Next Gen Finals,Next Gen ATP Finals (Suspended),7696,next-gen-atp-finals,2020,Hard,,,
ATP Finals,Nitto ATP Finals,605,nitto-atp-finals,2020,Hard,"$5,700,000",Daniil Medvedev,mm58
ATP 250,Delray Beach,499,delray-beach,2021,Hard,"$418,195",Hubert Hurkacz,hb71
ATP 250,Antalya,9426,antalya,2021,Hard,"€361,800",Alex de Minaur,dh58
ATP 250,Auckland (Cancelled),301,auckland,2021,Hard,,,
ATP 250,Melbourne 1,8998,melbourne,2021,Hard,"$382,575",Jannik Sinner,s0ag
ATP 250,Melbourne 2,9428,melbourne,2021,Hard,"$320,775",Daniel Evans,e687
ATP 250,Pune (Cancelled),891,pune,2021,Hard,,,
ATP Cup,ATP Cup,8888,atp-cup,2021,Hard,"$4,666,665",Daniil Medvedev,mm58
Grand Slam,Australian Open,580,australian-open,2021,Hard,"A$32,790,000",Novak Djokovic,d643
ATP 250,New York (Cancelled),424,new-york,2021,Hard,,,
